rang,franska,ordklass,genus,svenska,mening_franska,mening_svenska,bonusord,notering
1704,poil,substantiv,m,hårstrå (kropp/djur),Le chat perd ses poils. Partout.,Katten tappar hår. Överallt.,,"cheveux = hår på huvudet, poils = resten! GULD: au poil ! = perfekt! à un poil près = på håret när"
1705,muscle,substantiv,m,muskel,"Les muscles, ça se travaille. Doucement.",Muskler byggs upp. Försiktigt.,,GRATIS! musclé = muskulös. Rom byggdes inte på en dag – gäller även axlar
1706,coude,substantiv,m,armbåge,Les coudes sur la table ? Débat éternel.,Armbågarna på bordet? Evig debatt.,,GULD-idiom: huile de coude = armbågsfett = hårt arbete! Precis som svenskan. jouer des coudes = armbåga sig fram
1707,cheville,substantiv,f,"fotled, vrist",Attention à la cheville sur le verglas !,Akta fotleden på halkan !,,GULD-idiom: avoir les chevilles qui enflent = 'få svullna fotleder' = bli stöddig av beröm!
1708,nerf,substantiv,m,nerv,Ça me tape sur les nerfs !,Det går mig på nerverna!,,"énervé (irriterad) har du redan – ordagrant 'ur-nervad'! UTTAL: [nɛʁ], f:et tyst. Du nerf ! = ryck upp dig!"
1709,veine,substantiv,f,"ven, åder; tur",Quelle veine !,Vilken tur!,,DUBBEL: blodåder OCH flyt! avoir de la veine = ha tur. Pas de veine ! = otur!
1710,régime,substantiv,m,diet; regim,Pas de régime. Des frites.,Ingen diet. Pommes frites.,,"DUBBEL: bantning OCH styrelseskick! le régime méditerranéen funkar för båda... nej, bara maten"
1711,pansement,substantiv,m,plåster,Un pansement et un bisou. Guéri !,Ett plåster och en puss. Botad!,,panser = förbinda. Föräldramedicinens två grundpelare – bisou har du redan
1712,allergie,substantiv,f,allergi,Une allergie au pollen. Bonjour le printemps.,Pollenallergi. Hej våren.,pollen (m) = pollen (GRATIS),GRATIS! allergique à = allergisk mot. Je suis allergique aux lundis = skämtet alla gör
1713,grippe,substantiv,f,influensa,La grippe arrive avec l'hiver.,Influensan kommer med vintern.,,attraper la grippe = få influensan. GULD-bonus: prendre en grippe = få ett horn i sidan till någon!
1714,sirop,substantiv,m,"(host)saft, sirap",Du sirop pour la toux.,Hostmedicin.,toux (f) = hosta,tousser (hosta) har du redan → la toux. sirop d'érable = lönnsirap – Québecs guld
1715,chou,substantiv,m,kål; älskling,Mon petit chou !,Min lilla älskling!,,Kål OCH smeknamn! chou à la crème = petit-chou-bakelsen – svenskans 'petischu' är franska! chou-fleur = blomkål
1716,blé,substantiv,m,vete,Un champ de blé.,Ett vetefält.,,Vardagsslang: du blé = pengar ('deg' – precis som svenskan använder bröd/deg!)
1717,pâte,substantiv,f,"deg, smet",La pâte à crêpes repose.,Pannkakssmeten vilar.,,"NYANS: la pâte = deg/smet, les pâtes = pasta! pâte à modeler = modellera – framtida Kalle-aktivitet"
1718,tartine,substantiv,f,"smörgås, macka",Une tartine de confiture.,En macka med sylt.,,tartiner = breda på. Frukostfranskans hjärta. Nutella säljer mest i just Frankrike – tartinens fel
1719,omelette,substantiv,f,omelett,Une omelette pour deux.,En omelett för två.,,ORDSPRÅKET: On ne fait pas d'omelette sans casser des œufs = man måste våga för att vinna!
1720,bœuf,substantiv,m,nötkött; oxe,Du bœuf ou du poulet ?,Nötkött eller kyckling?,"porc (m) = fläskkött, agneau (m) = lamm","vache = djuret, bœuf = maten! UTTAL: un bœuf [bœf], des bœufs [bø] – f:et försvinner, precis som os!"
1721,saumon,substantiv,m,lax,"Le saumon, très suédois.",Lax – väldigt svenskt.,,saumon fumé = rökt lax. Färgen rosa-orange heter också saumon – laxrosa!
1722,crevette,substantiv,f,räka,Des crevettes pour la fête !,Räkor till festen!,,Räkfrossans ord. Också smeknamn för liten och pigg person: ma crevette !
1723,moule,substantiv,f/m,mussla; form,Des moules-frites !,Musslor med pommes!,,"GENUS-DUBBEL: LA moule = musslan, LE moule = gjutformen! Den som gjuter och printar figurer använder maskulinum"
1724,filet,substantiv,m,nät; filé,Un filet de poisson.,En fiskfilé.,,"DUBBEL: nät (fotbollsmål, fiskenät) OCH filé! un filet d'huile d'olive = en skvätt olivolja"
1725,moutarde,substantiv,f,senap,"La moutarde de Dijon, ça pique !",Dijonsenap – det sticker!,,GULD-idiom: la moutarde me monte au nez = 'senapen stiger mig åt näsan' = jag börjar bli förbannad!
1726,vinaigre,substantiv,m,"vinäger, ättika",Huile et vinaigre.,Olja och vinäger.,aigre = sur,vin + aigre = SURT VIN – det är hela hemligheten! vinaigrette = 'lilla sura vinet'
1727,sauce,substantiv,f,sås,La sauce fait tout.,Såsen gör allt.,,GRATIS! en sauce = i sås. Vardagligt: mettre la sauce = ge järnet!
1728,cannelle,substantiv,f,kanel,La cannelle : parfum de la Suède.,Kanel: doften av Sverige.,,"le roulé à la cannelle = kanelbullen. Frankrike har croissanter, Sverige har bullar – oavgjort"
1729,noix,substantiv,f,"valnöt, nöt",Des noix pour le cerveau.,Nötter för hjärnan.,,une noix de beurre = en klick smör! à la noix = värdelös (vard.). Ser hjärnan ut som en valnöt? Lite
1730,noisette,substantiv,f,hasselnöt,"Un café noisette, s'il vous plaît.","En kaffe med en skvätt mjölk, tack.",,"'Liten nöt'! café noisette = espresso med mjölkskvätt – uppkallad efter FÄRGEN, inte smaken"
1731,myrtille,substantiv,f,blåbär,Des myrtilles de la forêt suédoise.,Blåbär från den svenska skogen.,,Skogens guld. tarte aux myrtilles = blåbärspaj. Svenska skogsblåbär slår odlade – vetenskapligt bevisat (av svenskar)
1732,framboise,substantiv,f,hallon,Fraise ou framboise ?,Jordgubbe eller hallon?,,"Bärtrion komplett: fraise, framboise, myrtille. framboisier = hallonbuske"
1733,mûre,substantiv,f,björnbär,Une mûre bien mûre.,Ett riktigt moget björnbär.,,"ORDVITS-VARNING: adjektivet mûr/mûre (mogen) har du redan – här är BÄRET. En mening, två mûre. Varsågod"
1734,pamplemousse,substantiv,m,grapefrukt,Pamplemousse ! Le plus beau mot du français ?,Pamplemousse! Franskans vackraste ord?,,Från nederländska pompelmoes. Helt onödigt roligt att säga. Säg det tre gånger
1735,haricot,substantiv,m,böna,"Des haricots verts, très français.",Haricots verts – väldigt franskt.,,Svenskan lånade hela frasen! GULD: la fin des haricots = 'bönornas slut' = totalkatastrof!
1736,bol,substantiv,m,skål,Un bol de céréales.,En skål flingor.,céréales (f pl) = flingor,GULD-idiom: en avoir ras le bol = vara utless ('ha det upp till skålkanten')! J'en ai ras le bol !
1737,marron,adjektiv,,brun; kastanj,Des chaussures marron.,Bruna skor.,,GRAMMATIK-GULD: marron böjs ALDRIG (det är egentligen substantivet kastanj!). Hår är dock brun: cheveux bruns
1738,violet / violette,adjektiv,,lila,"Le violet, couleur des rois.","Lila, kungarnas färg.",,Från blomman violette (viol). Färgpaletten växer: nu har du även lila
1739,foncé,adjektiv,,mörk (om färg),Bleu clair ou bleu foncé ?,Ljusblå eller mörkblå?,,clair har du redan → motsatsen. Böjs inte efter färgen: des chemises bleu foncé
1740,or,substantiv,m,guld,Une médaille d'or !,En guldmedalj!,médaille (f) = medalj,DUBBEL: guld OCH konjunktionen 'men/nu' i skrift! Och argent = BÅDE pengar och silver. Ekonomiskt språk
1741,fer,substantiv,m,järn,Le fer à repasser dort dans le placard.,Strykjärnet sover i garderoben.,,"repasser fick du nyss → fer à repasser! le chemin de fer = järnvägen ('järnvägen', ordagrant!)"
1742,métal,substantiv,m,metall,Un robot en métal.,En robot i metall.,,"GRATIS! Plural: métaux. musique métal = hårdrock, samma som svenskan"
1743,carton,substantiv,m,kartong,Un carton de colis. Encore un.,En paketkartong. En till.,,GULD: faire un carton = göra succé! Och carton rouge = rött kort (fotboll)
1744,cuir,substantiv,m,"läder, skinn",Une veste en cuir.,En skinnjacka.,,en cuir = i läder. Filmkaraktärens uniform sedan 1950-talet
1745,ampoule,substantiv,f,glödlampa; blåsa,L'ampoule est morte. Encore.,Glödlampan är död. Igen.,,DUBBEL: glödlampa OCH blåsa (skavsår)! Vandringens och hemmets gemensamma ord
1746,éponge,substantiv,f,svamp (disk),L'éponge magique existe. Presque.,Den magiska svampen finns. Nästan.,,GULD-idiom: jeter l'éponge = kasta in handduken (boxning!). passer l'éponge = stryka ett streck över
1747,touche,substantiv,f,tangent; touch,Appuie sur la touche espace.,Tryck på mellanslagstangenten.,,toucher har du redan → la touche. la touche entrée = enter. une touche personnelle = en personlig touch
1748,vis,substantiv,f,skruv,Il manque une vis.,Det fattas en skruv.,tournevis (m) = skruvmejsel,"GULD-idiom: Il te manque une vis ! = du har en skruv lös! tourne + vis = skruvmejsel, logiskt"
1749,sonnette,substantiv,f,dörrklocka,La sonnette ! Le colis !,Dörrklockan! Paketet!,,sonner har du redan → sonnette. Nätshoppingens lyckligaste ljud. tirer la sonnette d'alarme = slå larm
1750,volet,substantiv,m,fönsterlucka,Les volets fermés à midi : très français.,Stängda fönsterluckor mitt på dagen: väldigt franskt.,,Frankrikes fasaduniform! Nu förstår du också trier sur le volet = handplocka det bästa
1751,rez-de-chaussée,substantiv,m,bottenvåning,J'habite au rez-de-chaussée.,Jag bor på bottenvåningen.,,KULTUR-FÄLLA: bottenvåningen är våning 0! Le premier étage = svenska 'andra våningen'. Hissknappen 'RC' eller '0'
1752,berceau,substantiv,m,vagga,Kalle dort dans son berceau. Parfois.,Kalle sover i sin vagga. Ibland.,,"bercer och berceuse har du redan – familjen komplett: vagga (verb), vaggvisa, vagga (möbel)"
1753,réveil,substantiv,m,väckarklocka; uppvaknande,Le réveil sonne à sept heures. Kalle sonne avant.,Väckarklockan ringer klockan sju. Kalle ringer innan.,,se réveiller har du redan → le réveil: både klockan och uppvaknandet. au réveil = vid uppvaknandet
1754,drap,substantiv,m,lakan,Des draps propres : le vrai luxe.,Rena lakan: den äkta lyxen.,,Minns drapeau = 'lilla tyget'? Här är stora tyget! GULD: être dans de beaux draps = sitta i klistret!
1755,matelas,substantiv,m,madrass,Un bon matelas change la vie.,En bra madrass förändrar livet.,,"UTTAL: [matla] – s:et tyst. Nybliven förälder-visdom: madrassen spelar ingen roll, sömnen sker ändå inte"
1756,couette,substantiv,f,täcke,"Sous la couette, il fait toujours beau.",Under täcket är det alltid fint väder.,,DUBBEL: täcke OCH tofsar i håret (des couettes)! housse de couette = påslakan
1757,cadre,substantiv,m,ram; chef,Une photo de Kalle dans un cadre.,Ett foto på Kalle i en ram.,,"TRIPPEL: tavelram, tjänsteman/chef (un cadre supérieur) och dans le cadre de = inom ramen för!"
1758,affiche,substantiv,f,affisch,Une affiche de cinéma sur le mur.,En filmaffisch på väggen.,afficher = att visa/anslå,Svenskan lånade ordet! à l'affiche = på repertoaren. afficher complet = utsålt
1759,paire,substantiv,f,par,Une paire de chaussettes. Sans trous.,Ett par strumpor. Utan hål.,,"une paire de lunettes, une paire de ciseaux. C'est une autre paire de manches ! = det är en helt annan femma!"
1760,caisse,substantiv,f,kassa; låda,"À la caisse, Kalle charme tout le monde.",I kassan charmar Kalle alla.,charmer = att charma (GRATIS),Passer à la caisse = gå och betala. Också låda: une caisse à outils = en verktygslåda
1761,rayon,substantiv,m,"hylla, avdelning; stråle",C'est au rayon trois.,Det är på hylla tre.,,"TRIPPEL: butikshylla, solstråle (rayon de soleil) och cykeleker! Ett ord, tre liv"
1762,panier,substantiv,m,korg,Un panier de fraises des bois.,En korg smultron.,,Basketkorgen heter också le panier – marquer un panier = sätta en korg! panier repas = matsäck
1763,chariot,substantiv,m,kundvagn,Kalle adore le chariot. Le supermarché : une aventure.,Kalle älskar kundvagnen. Mataffären: ett äventyr.,,Jfr eng. chariot (stridsvagn!) – franskan behöll vardagsversionen
1764,espèces,substantiv,f pl,kontanter,En espèces ou par carte ?,Kontant eller kort?,,DUBBEL: kontanter OCH arter/sorter! une espèce de = en sorts. payer en espèces = betala kontant
1765,pour cent,uttryck,,procent,Cent pour cent d'accord !,Hundra procent överens!,,Ordagrant 'per hundra' – precis som pro-cent! le pourcentage = procentsatsen
1766,réduction,substantiv,f,rabatt,Vingt pour cent de réduction !,Tjugo procents rabatt!,,réduire = minska. en solde har du redan – nu kan du förhandla också
1767,produit,substantiv,m,produkt,Un produit suédois de qualité.,En svensk kvalitetsprodukt.,,produire = producera. produits frais = färskvaror. produit de l'année = årets produkt
1768,usine,substantiv,f,fabrik,L'usine tourne jour et nuit.,Fabriken går dygnet runt.,,"sortie d'usine = fabriksny. Jfr eng. usine i 'usinage'... nej, men tänk 'user' = använda – där maskiner används!"
1769,banlieue,substantiv,f,förort,La banlieue parisienne est immense.,Paris förorter är enorma.,,la grande banlieue = ytterförorterna. banlieusard = förortsbo
1770,carrefour,substantiv,m,vägkorsning,"Au carrefour, tourne à droite.",Sväng höger i korsningen.,,Butikskedjan Carrefour betyder alltså 'vägkorsningen' – därav logotypens pilar! quatre + fourche = fyrvägskors
1771,panneau,substantiv,m,skylt,Le panneau dit stop. On s'arrête.,Skylten säger stopp. Vi stannar.,,panneau solaire = solpanel. tomber dans le panneau = gå i fällan!
1772,tunnel,substantiv,m,tunnel,Le tunnel sous la Manche.,Tunneln under Engelska kanalen.,,GRATIS! la Manche = Engelska kanalen – ordagrant 'ärmen'. Titta på kartan: den ser faktiskt ut så
1773,autoroute,substantiv,f,motorväg,L'autoroute est payante en France.,Motorvägen är avgiftsbelagd i Frankrike.,"payant = avgiftsbelagd, péage (m) = vägtull",OBS: UNE autoroute (femininum!). Budgettips: nationale-vägarna är gratis och vackrare
1774,horaire,substantiv,m,"tidtabell, schema",Les horaires d'été changent tout.,Sommartidtabellen ändrar allt.,,OBS: UN horaire (maskulinum trots -e!). heure → horaire. horaires d'ouverture = öppettider
1775,séjour,substantiv,m,vistelse,Bon séjour en France !,Trevlig vistelse i Frankrike!,,DUBBEL: vistelse OCH vardagsrum (la salle de séjour = 'vistelserummet')! Hotellets och hemmets ord
1776,tente,substantiv,f,tält,On monte la tente sous la pluie.,Vi sätter upp tältet i regnet.,camping (m) = camping (GRATIS),Homofon-varning: tente låter som tante (moster) OCH tente (försöker)! Sammanhanget räddar dig
1777,randonnée,substantiv,f,vandring,"Une randonnée en forêt, ça change tout.",En vandring i skogen förändrar allt.,,"Vardagligt: la rando. faire de la randonnée = vandra. Sveriges nationalsport, Frankrikes också (GR-lederna!)"
1778,touriste,substantiv,m/f,turist,Trop de touristes ? On est touristes aussi.,För många turister? Vi är också turister.,,GRATIS! le piège à touristes = turistfällan – piège fick du snart... nej strax! Håll utkik
1779,guide,substantiv,m/f,guide; guidebok,Le guide connaît tous les secrets.,Guiden kan alla hemligheter.,,DUBBEL: personen OCH boken (le Guide Michelin!). guider = att guida
1780,quai,substantiv,m,perrong; kaj,Le train part du quai numéro deux.,Tåget går från spår två.,,Tågets OCH hamnens ord. les quais de Seine = Seines kajer – Paris bästa promenad
1781,douane,substantiv,f,tull,La douane ? Rien à déclarer.,Tullen? Inget att förtulla.,,déclarer fick du nyss – nu vet du var frasen används! le douanier = tulltjänstemannen
1782,fleuve,substantiv,m,flod (till havet),"La Seine est un fleuve, pas une rivière.","Seine är en 'fleuve', inte en 'rivière'.",,"NYANS-GULD: fleuve mynnar i HAVET, rivière i en annan flod! Franskan skiljer – svenskan säger flod om båda"
1783,marée,substantiv,f,tidvatten,La marée monte vite au Mont-Saint-Michel.,Tidvattnet stiger snabbt vid Mont-Saint-Michel.,,"mer → marée! marée haute/basse = flod/ebb. Snabbare än en galopperande häst, sägs det om Mont-Saint-Michel"
1784,côte,substantiv,f,kust; revben,La côte ouest de la Suède.,Sveriges västkust.,,"TRIPPEL: kust, revben OCH kotlett (côte de porc)! OBS accenten: côte ≠ côté (sida) – den kommer strax"
1785,port,substantiv,m,hamn,Le port de Göteborg.,Göteborgs hamn.,,porter (bära) har du redan – hamnen är där man BÄR i land! arriver à bon port = komma väl fram
1786,phare,substantiv,m,fyr; strålkastare,Le phare guide les bateaux.,Fyren leder båtarna.,,DUBBEL: fyr OCH billyktor (allumer les phares = tända helljuset)! Från Pharos – antikens berömda fyr
1787,horizon,substantiv,m,horisont,Le soleil touche l'horizon. Silence. On filme.,Solen når horisonten. Tystnad. Vi filmar.,,GRATIS! à l'horizon = i sikte. élargir ses horizons = vidga sina vyer
1788,flocon,substantiv,m,flinga,"Les premiers flocons ! Kalle, regarde !","De första snöflingorna! Kalle, titta!",,"DUBBEL: flocon de neige = snöflinga, flocons d'avoine = havregryn! Vinterns och frukostens ord"
1789,verglas,substantiv,m,"halka, isgata","Attention, verglas !",Varning för halka!,,verre + glace = 'glasis' – exakt vad det är! Svensk vinteröverlevnadsglosa nummer ett
1790,luge,substantiv,f,"pulka, kälke",La luge attend Kalle. L'hiver prochain ?,Pulkan väntar på Kalle. Nästa vinter?,,faire de la luge = åka pulka. OS-grenen rodel heter också luge!
1791,sortie,substantiv,f,utgång; utflykt; release,"La sortie de secours, toujours à droite. Ou à gauche.","Nödutgången, alltid till höger. Eller vänster.",,"TRIPPEL: utgång, utflykt (une sortie en famille) och premiär: la sortie du film = filmens release!"
1792,tâche,substantiv,f,uppgift,Une tâche à la fois.,En uppgift i taget.,,"Nu är lektionen komplett: tache = fläck, tâche = uppgift. Hatten (accenten) gör jobbet"
1793,objectif,substantiv,m,mål; objektiv,L'objectif : mille abonnés. Avec un bon objectif.,Målet: tusen prenumeranter. Med ett bra objektiv.,,DUBBEL: målet OCH kameralinsen! Filmarens favoritdubbeltydighet. atteindre son objectif = nå sitt mål
1794,rapport,substantiv,m,rapport; förhållande,Le rapport est prêt. Presque.,Rapporten är klar. Nästan.,,GULD-konstruktion: par rapport à = jämfört med/i förhållande till. Aucun rapport ! = det har inget samband!
1795,document,substantiv,m,dokument,Un document important. Où ça ?,Ett viktigt dokument. Var då?,,"GRATIS! documents de voyage = resehandlingar. Alltid i fel mapp, på alla språk"
1796,contrat,substantiv,m,"kontrakt, avtal",Je lis avant de signer le contrat.,Jag läser innan jag skriver på kontraktet.,,GRATIS! signer un contrat = skriva på. remplir sa part du contrat = hålla sin del av avtalet
1797,accord,substantiv,m,överenskommelse; ackord,On a un accord !,Vi har en överenskommelse!,,d'accord har du sagt tusen gånger – HÄR är själva ordet! Också musikackord. être en accord avec = vara i samklang med
1798,formulaire,substantiv,m,"formulär, blankett",Encore un formulaire à remplir.,Ännu en blankett att fylla i.,,remplir un formulaire = fylla i en blankett. Byråkratins modersmål är franska (på riktigt – diplomatspråket!)
1799,exercice,substantiv,m,övning,"Un exercice par jour, sans exception.","En övning om dagen, utan undantag.",exception (f) = undantag (GRATIS),"GRATIS! L'exercice fait le maître... nej, det heter c'est en forgeant qu'on devient forgeron – 'man blir smed genom att smida'"
1800,recherche,substantiv,f,forskning; sökning,La recherche sur l'IA avance vite.,AI-forskningen går snabbt framåt.,,chercher → recherche. DUBBEL: forskning OCH sökning (moteur de recherche = sökmotor). à la recherche de = på jakt efter
1801,étude,substantiv,f,studie; studier,Une étude le confirme. Laquelle ? Mystère.,En studie bekräftar det. Vilken? Mysterium.,,"les études = studierna (faire des études = studera). Internetdebattens favoritfras, sällan med källa"
1802,débat,substantiv,m,debatt,Le débat sur l'IA continue. J'écris.,AI-debatten fortsätter. Jag skriver.,,GRATIS! débattre = debattera. sans débat = utan diskussion
1803,TVA,substantiv,f,moms,La TVA : vingt pour cent en France.,Momsen: tjugo procent i Frankrike.,,"taxe sur la valeur ajoutée = skatt på tillagt värde – exakt som svenskans mervärdesskatt! TTC = inkl. moms, HT = exkl."
1804,budget,substantiv,m,budget,Le budget est serré. Comme toujours.,Budgeten är tajt. Som alltid.,,GRATIS! Franskan gav engelskan ordet: bougette = liten väska (för pengar)! Cirkeln sluten
1805,bourse,substantiv,f,börs; stipendium,"La bourse monte, la bourse descend.","Börsen går upp, börsen går ner.",,DUBBEL: aktiebörsen OCH stipendium (une bourse d'études)! Från börshandlarfamiljen Van der Burse i Brygge – sant
1806,action,substantiv,f,aktie; handling,Des actions suédoises et américaines.,Svenska och amerikanska aktier.,,DUBBEL: aktie OCH handling! Action ! = tagning! – filmarens och börsens gemensamma rop
1807,croissance,substantiv,f,tillväxt,"La croissance ralentit. Le croissant, jamais.","Tillväxten saktar ner. Croissanten, aldrig.",,croissant = 'växande' (månen som växer till halvmåne – därav formen)! Samma rot: croître = växa
1808,crise,substantiv,f,kris,"Pas de panique, pas de crise.","Ingen panik, ingen kris.",,GRATIS! une crise de rire = ett skrattanfall. la crise de la quarantaine = fyrtioårskrisen
1809,dette,substantiv,f,skuld,"Pas de dettes, pas de souci.","Inga skulder, inga bekymmer.",,Jfr eng. debt (b:et är stumt där – franskan skippade det helt). la dette publique = statsskulden
1810,moyenne,substantiv,f,genomsnitt,Ma moyenne de sommeil ? Secret.,Mitt sömngenomsnitt? Hemligt.,,moyen (medel-) har du redan → la moyenne. en moyenne = i genomsnitt. au-dessus de la moyenne = över snittet
1811,dizaine,substantiv,f,tiotal,Une dizaine d'années. Ou deux.,Ett tiotal år. Eller två.,,"Mönstret: dizaine (10), douzaine (dussin!), centaine (100), millier (1000). Une dizaine = ungefär tio"
1812,échec,substantiv,m,misslyckande; (pl.) schack,"Un échec ? Non, une leçon. Et les échecs ? Un jeu !","Ett misslyckande? Nej, en läxa. Och schack? Ett spel!",,"échouer → échec. GULD-DUBBEL: les échecs = SCHACK! échec et mat = schack matt – från persiskans 'shah mat', kungen är död"
1813,patience,substantiv,f,tålamod,La patience : niveau expert.,Tålamod: expertnivå.,expert (m) = expert (GRATIS),GRATIS! Patience... = lugn i stormen... Un peu de patience ! Föräldraskapets valuta
1814,réalité,substantiv,f,verklighet,La réalité dépasse la fiction.,Verkligheten överträffar dikten.,fiction (f) = fiktion (GRATIS),GRATIS! en réalité = i själva verket. la réalité virtuelle = VR
1815,astuce,substantiv,f,"knep, tips",Une astuce de mémoire ? J'en ai mille.,Ett minnesknep? Jag har tusen.,,astucieux = fyndig. Livshackarens ord: Voici l'astuce ! = här är tricket!
1816,piège,substantiv,m,fälla,C'est un piège !,Det är en fälla!,,le piège à touristes = turistfällan (som utlovat!). piéger = gillra en fälla. une question piège = en kuggfråga
1817,effet,substantiv,m,effekt,Les effets spéciaux ? C'est moi.,Specialeffekterna? Det är jag.,,GULD-fras: en effet = mycket riktigt/faktiskt. faire de l'effet = göra intryck. Klipparens och retorikerns ord
1818,championnat,substantiv,m,mästerskap,Le championnat du monde de mémoire existe. Vraiment.,VM i minne finns. På riktigt.,,champion har du redan → championnat. Vissa har till och med vunnit det. Två gånger
1819,adversaire,substantiv,m/f,motståndare,Mon adversaire : le sommeil.,Min motståndare: sömnen.,,Jfr eng. adversary. un adversaire de taille = en motståndare att räkna med
1820,récompense,substantiv,f,belöning,La récompense ? Un câlin.,Belöningen? En kram.,,récompenser = belöna. toute peine mérite récompense = all möda förtjänar belöning
1821,éternité,substantiv,f,evighet,La nuit a duré une éternité.,Natten varade en evighet.,,éternel = evig. Ça fait une éternité ! = det var evigheter sedan! Småbarnsnätternas tidsenhet
1822,foule,substantiv,f,folkmassa; massa,Une foule de souvenirs.,En massa minnen.,,une foule de = en massa. un bain de foule = folkbad (politikerns handskakningsrunda!)
1823,crayon,substantiv,m,blyertspenna,Un crayon et du papier : ça suffit.,En penna och papper: det räcker.,,"Från craie = krita! stylo = bläckpenna, crayon = blyerts. crayon de couleur = färgpenna"
1824,gomme,substantiv,f,suddgummi,Où est la gomme ?,Var är suddgummit?,,gommer = sudda. le chewing-gum = tuggummit (franskan gav upp och lånade). mettre la gomme = gasa på!
1825,ciseaux,substantiv,m pl,sax,"Les ciseaux, loin de Kalle.","Saxen, långt från Kalle.",,ALLTID plural – som svenskans 'byxor'! une paire de ciseaux = en sax. coup de ciseaux = saxning (fotboll!)
1826,colle,substantiv,f,lim,"La colle aussi, loin de Kalle.","Limmet också, långt från Kalle.",,coller → la colle. GULD: poser une colle = ställa en kuggfråga! une colle = också kvarsittning (skolslang)
1827,cahier,substantiv,m,skrivhäfte,Un cahier d'exercices par jour.,Ett övningshäfte om dagen.,,"cahier de textes = läxbok. Vissa bygger appar i stället för häften – samma idé, fler nivåer"
1828,carnet,substantiv,m,"anteckningsbok, block",Un carnet pour les idées.,Ett block för idéerna.,,carnet d'adresses = adressbok. carnet de voyage = resedagbok. Fickformatets vän
1829,vocabulaire,substantiv,m,ordförråd,Mon vocabulaire grandit chaque jour.,Mitt ordförråd växer varje dag.,,GRATIS! Just nu: 1900 ord och räknar. enrichir son vocabulaire = berika sitt ordförråd
1830,conjugaison,substantiv,f,"böjning, konjugation",La conjugaison ? Petit à petit.,Verbböjningen? Steg för steg.,,"conjuguer = böja. Minns rad 1300: petit à petit, l'oiseau fait son nid. Gäller även verb"
1831,orthographe,substantiv,f,stavning,L'orthographe française : un sport.,Fransk stavning: en sport.,,ortho (rätt) + graphe (skrift). Fransmännen har diktamens-SM på TV – la dictée. Sant!
1832,rime,substantiv,f,rim,"Une rime parfaite, ça se fête.",Ett perfekt rim ska firas.,rimer = att rimma,"Poesins byggsten. rime riche = rikt rim. Vissa har tävlat i saken – på scen, med mikrofon"
1833,conte,substantiv,m,saga,Un conte avant de dormir.,En saga före läggdags.,,"raconter har du redan – ordagrant 'sag-a'! conte de fées = älvsaga. Charles Perrault: Askungen, Rödluvan – franska original!"
1834,héros,substantiv,m,hjälte,Notre héros dort vingt heures par jour.,Vår hjälte sover tjugo timmar om dygnet.,,GRAMMATIK-KURIOSA: LE héros (inte l'héros – h:et 'blockerar')! Men l'héroïne. héroïque = heroisk
1835,sorte,substantiv,f,"sort, slag","Une sorte de jeu, une sorte de sport.","En sorts lek, en sorts sport.",,toutes sortes de = alla möjliga sorters. quelle sorte de... ? = vilken typ av...? Syskon till espèce
1836,bord,substantiv,m,"kant, strand","Au bord du lac, tout est calme.",Vid sjökanten är allt lugnt.,,GULD-DUBBEL: kant OCH ombord: à bord ! = ombord! bienvenue à bord = välkommen ombord. au bord de = på gränsen till
1837,côté,substantiv,m,sida,Chacun son côté du lit.,Var och en sin sida av sängen.,,Nu är accentlektionen klar: côte (kust/revben) ≠ côté (sida)! à côté de har du redan. du bon côté = på den ljusa sidan
1838,intérieur / extérieur,substantiv,m,insida / utsida,"À l'intérieur, au chaud.","Inomhus, i värmen.",,GRATIS: interiör/exteriör! à l'intérieur de = inuti. ministre de l'Intérieur = inrikesminister
1839,pression,substantiv,f,"tryck, press",La pression monte. Respire.,Pressen stiger. Andas.,,DUBBEL: tryck OCH fatöl! une pression = en stor stark (minns bière pression?). sous pression = under press
1840,ambiance,substantiv,f,stämning,L'ambiance est bonne ce soir !,Stämningen är god ikväll!,,Svenskan lånade 'ambiance'! mettre de l'ambiance = få igång stämningen. ambiance électrique – som utlovat
1841,parfum,substantiv,m,"doft, parfym; smak",Quel parfum ? Vanille ou fraise ?,Vilken smak? Vanilj eller jordgubb?,,"TRIPPEL: parfym, doft OCH glassmak! Quel parfum ? är glasskioskens standardfråga. être au parfum = vara införstådd"
1842,égalité,substantiv,f,jämlikhet; lika,"Liberté, égalité, fraternité !","Frihet, jämlikhet, broderskap!",fraternité (f) = broderskap (frère!),Frankrikes motto sedan revolutionen. Sport-bonus: à égalité = oavgjort/lika!
1843,manifestation,substantiv,f,demonstration,Une manifestation ? À Paris ? Quelle surprise.,En demonstration? I Paris? Vilken överraskning.,,Vardagligt: une manif. manifester = demonstrera. Fransk folkrörelsekultur i ett ord
1844,signe,substantiv,m,tecken,"Un signe de la main, et Kalle sourit.","En vinkning, och Kalle ler.",,faire signe = höra av sig (Fais-moi signe !). la langue des signes = teckenspråket. bon signe ! = gott tecken!
1845,moche,adjektiv,,ful; trist,Il fait moche aujourd'hui.,Det är fulväder idag.,,"Talspråkets 'ful' – om väder, kläder, situationer. C'est moche ! = vad tråkigt/trist!"
